total_removed_points: 0     
pick_probability: 0      
stamp: 9000000
0.480714, -0.00745039, 0.0366544
0.00631213, -0.00429759, 0.0381367
-0.026968, -0.504943, 0.0348618
0.53651, -0.491835, 0.0335722
0.509075, -0.519297, 0.0345907
0.503939, -0.464383, 0.032137
0.497071, -0.495384, 0.0332549
0.0055738, -0.527345, 0.0326543
0.0133164, -0.500908, 0.0334629
stamp: 19000000
0.480709, -0.00745318, 0.0366344
0.00631314, -0.00429664, 0.038127
-0.0270083, -0.504959, 0.0348526
0.536508, -0.491833, 0.0335749
0.509068, -0.519305, 0.0345805
0.503936, -0.464382, 0.0321318
0.49708, -0.495384, 0.0332569
0.00556656, -0.527343, 0.0326306
0.0133171, -0.500906, 0.0334614
stamp: 29000000
0.480712, -0.00745327, 0.0366422
0.00631034, -0.00429872, 0.0381278
-0.0269818, -0.504956, 0.034831
0.536504, -0.491834, 0.0335762
0.509066, -0.519295, 0.03458
0.503943, -0.464374, 0.0321249
0.497078, -0.495383, 0.0332586
0.00557278, -0.527342, 0.0326484
0.0133147, -0.500906, 0.0334572
stamp: 39000000
0.480708, -0.00745359, 0.036648
0.00632317, -0.00429222, 0.0381392
-0.0269703, -0.504976, 0.034854
0.536504, -0.491831, 0.0335683
0.509062, -0.519297, 0.0345863
0.503935, -0.464436, 0.032056
0.497079, -0.495383, 0.0332636
0.00556824, -0.527348, 0.0326408
0.013315, -0.500911, 0.0334637
stamp: 49000000
0.480707, -0.00744595, 0.0366424
0.00630728, -0.00429393, 0.0381398
-0.0269719, -0.504961, 0.0348353
0.536512, -0.491834, 0.0335622
0.50906, -0.519293, 0.0345793
0.503941, -0.464386, 0.0321174
0.497077, -0.495382, 0.0332484
0.00556897, -0.527345, 0.0326409
0.013323, -0.500899, 0.0334655
stamp: 59000000
0.48071, -0.00745183, 0.0366376
0.00630405, -0.00429414, 0.0381368
-0.0269719, -0.504966, 0.0348307
0.5365, -0.491829, 0.0335755
0.509063, -0.519301, 0.034581
0.503943, -0.464371, 0.0321355
0.497078, -0.495381, 0.0332532
0.00557339, -0.527348, 0.0326363
0.0133194, -0.500903, 0.0334617
stamp: 69000000
0.480709, -0.0074531, 0.0366517
0.00630243, -0.00429415, 0.0381265
-0.027008, -0.504959, 0.0348588
0.536509, -0.491825, 0.0335652
0.509065, -0.519303, 0.0345862
0.503951, -0.464381, 0.0321407
0.497081, -0.495375, 0.0332563
0.00558216, -0.52735, 0.0326493
0.0133277, -0.500941, 0.0335069
stamp: 80000000
0.480711, -0.00745684, 0.0366476
0.00630868, -0.00430026, 0.0381397
-0.0269662, -0.504966, 0.0348364
0.536506, -0.491831, 0.0335672
0.509062, -0.519302, 0.034582
0.503944, -0.464381, 0.0321291
0.497078, -0.495376, 0.0332572
0.00556537, -0.527342, 0.0326388
0.0133235, -0.500911, 0.033458
stamp: 89000000
0.480712, -0.00744828, 0.0366534
0.00631379, -0.00429215, 0.0381387
-0.0269666, -0.50495, 0.0348562
0.536491, -0.491824, 0.0335698
0.509071, -0.519296, 0.0345857
0.503944, -0.464376, 0.0321301
0.497079, -0.49538, 0.0332626
0.00556911, -0.52734, 0.0326433
0.0133153, -0.500911, 0.0334695
stamp: 99000000
0.480707, -0.00745073, 0.036649
0.00630876, -0.00428732, 0.038126
-0.0270007, -0.504959, 0.0348639
0.536511, -0.491828, 0.0335699
0.509073, -0.519297, 0.0345826
0.503934, -0.464429, 0.0320592
0.497077, -0.49539, 0.0332568
0.00556998, -0.52735, 0.0326428
0.0133156, -0.500912, 0.0334536
stamp: 110000000
0.480708, -0.0074518, 0.0366444
0.00631103, -0.00429054, 0.0381288
-0.0269944, -0.504945, 0.0348804
0.536489, -0.491829, 0.0335783
0.509074, -0.5193, 0.034581
0.503941, -0.46438, 0.0321155
0.49708, -0.495384, 0.0332522
0.00557027, -0.527352, 0.0326507
0.0133123, -0.500903, 0.0334583
stamp: 119000000
0.480713, -0.00746091, 0.036655
0.00631228, -0.00429802, 0.0381403
-0.0270035, -0.504965, 0.0348649
0.536506, -0.491833, 0.0335721
0.509067, -0.519298, 0.0345871
0.503948, -0.464373, 0.0321339
0.497078, -0.495386, 0.0332545
0.00556934, -0.527341, 0.0326371
0.0133147, -0.500911, 0.0334517
stamp: 130000000
0.480712, -0.00745518, 0.0366487
0.00631643, -0.00429756, 0.0381342
-0.0269668, -0.504945, 0.0348495
0.536508, -0.491837, 0.0335621
0.509065, -0.519302, 0.0345767
0.503942, -0.46438, 0.0321337
0.497081, -0.495382, 0.0332514
0.00557111, -0.527342, 0.0326368
0.0133149, -0.500913, 0.0334495
stamp: 139000000
0.480714, -0.00745842, 0.0366367
0.00630815, -0.00429921, 0.0381362
-0.0269615, -0.50494, 0.0348606
0.536504, -0.49183, 0.0335628
0.509065, -0.519298, 0.0345791
0.50395, -0.464376, 0.0321252
0.49708, -0.49538, 0.033254
0.00557541, -0.527352, 0.0326447
0.0133198, -0.50091, 0.0334573
stamp: 149000000
0.480709, -0.00745828, 0.0366349
0.00630655, -0.00429202, 0.0381397
-0.0270041, -0.504955, 0.0348674
0.536504, -0.491833, 0.0335676
0.509063, -0.519298, 0.0345773
0.503947, -0.464372, 0.0321313
0.497076, -0.49538, 0.0332536
0.00556993, -0.52734, 0.0326503
0.0133135, -0.500909, 0.0334592
stamp: 159000000
0.480714, -0.0074534, 0.0366369
0.00629842, -0.00430305, 0.0381393
-0.0269628, -0.50495, 0.0348734
0.536501, -0.491827, 0.0335587
0.509069, -0.519298, 0.034595
0.503939, -0.464383, 0.0321393
0.497074, -0.495379, 0.0332547
0.00557143, -0.527346, 0.0326509
0.0133181, -0.500907, 0.0334605
stamp: 169000000
0.480711, -0.0074549, 0.0366337
0.00630852, -0.00429402, 0.0381291
